,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
croyance,belief,,,5.08,2.15,3.54,2.60,4.76,2.14,3.94,2.63,5.35,2.18,3.20,2.59,8,7,2,NOUN,3.30,3.38,2.71,,,,,1
cruauté,cruelty,,,1.66,1.57,6.80,2.53,2.25,1.49,7.13,2.03,1.59,1.57,6.76,2.59,7,6,3,NOUN,5.70,14.32,2.86,,,,,1
cruche,pitcher,,,4.04,1.75,3.89,2.06,4.50,1.51,3.75,2.42,3.95,1.79,3.92,2.00,6,4,1,NOUN,2.92,3.92,5.61,1,,,,1
cube ,cube,B,108,5.38,1.14,2.95,1.93,5.53,1.55,3.76,2.05,5.25,0.64,2.25,1.55,4,3,1,NOUN,1.58,5.74,6.53,1,,,,1
cuillère,spoon,AF,215,5.22,1.08,2.43,1.77,5.29,0.92,2.47,1.66,5.15,1.23,2.40,1.90,8,6,2,NOUN,5.18,9.80,6.82,1,,,,1
cuisine ,kitchen,B,109,6.84,1.94,5.51,2.89,6.35,1.66,4.35,2.78,7.25,2.10,6.50,2.67,7,6,2,NOUN,85.08,123.31,6.42,1,,,,1
cuisinière,stove,AF,219,5.62,1.92,3.92,2.56,6.06,1.95,4.59,2.58,5.25,1.86,3.35,2.48,10,9,3,NOUN,7.66,16.08,5.68,1,,,,
cuisson,cooking,,,6.06,1.58,4.47,2.17,5.67,1.32,4.67,1.58,6.12,1.62,4.44,2.25,7,5,2,NOUN,1.38,3.04,4.36,,,,,1
cupidité,cupidity,,,3.35,1.90,4.88,2.32,3.63,1.41,3.50,1.85,3.31,1.95,5.04,2.33,8,8,4,NOUN,1.77,1.96,,,,,,1
cure,therapy,,,4.60,1.91,4.01,2.11,4.92,1.73,3.92,2.27,4.54,1.95,4.03,2.10,4,3,1,NOUN,5.60,8.18,2.80,,,,,1
cygne,swan,AF,223,6.52,1.52,3.98,2.49,5.83,1.42,4.06,2.46,6.91,1.44,3.94,2.54,5,3,1,NOUN,5.28,4.66,6.40,1,,,,1
danger,danger,,,3.59,2.58,6.89,2.07,4.29,2.69,6.65,1.93,3.00,2.38,7.10,2.20,6,4,2,NOUN,76.73,45.20,4.10,,,,,1
danseuse ,dancer,B,110,7.11,1.78,5.22,3.13,6.82,2.07,5.12,3.22,7.35,1.50,5.30,3.13,8,5,2,NOUN,10.05,8.58,6.06,1,,,,
date,date,,,5.24,1.51,3.76,2.39,5.33,0.69,4.67,2.06,5.19,1.83,3.23,2.43,4,3,1,NOUN,26.88,36.62,4.30,,,,,
dauphin,dolphin,AF,274,7.08,1.89,5.08,2.86,7.18,1.55,5.00,2.52,7.00,2.18,5.15,3.18,7,4,2,NOUN,1.76,1.22,6.80,1,,,,
dé,dice,,,4.58,1.91,3.66,2.16,5.00,2.15,4.24,2.46,4.24,1.67,3.19,1.81,2,2,1,NOUN,5.74,3.65,6.30,,,,,
début,start,,,6.43,1.51,4.56,2.68,5.33,0.71,4.67,2.29,6.57,1.53,4.54,2.75,5,4,2,NOUN,109.88,128.51,3.01,,,,,1
délicat,delicate,,,6.70,1.60,3.30,2.09,6.25,1.39,3.13,1.89,6.75,1.63,3.32,2.12,7,6,3,ADJ,9.60,13.72,,,1,,1,1
demande,question,,,5.32,1.46,4.46,2.12,5.08,1.38,4.17,2.48,5.36,1.48,4.52,2.07,7,5,2,NOUN,59.26,35.27,2.70,,,,,1
démon,demon,,,2.36,1.86,6.32,2.40,4.33,1.80,6.11,1.45,2.12,1.71,6.34,2.50,5,4,2,NOUN,39.71,13.58,5.37,,,,,1
dent ,tooth,B,111,4.08,1.75,3.43,2.50,4.53,1.33,3.41,2.00,3.70,2.00,3.45,2.91,4,2,1,NOUN,13.27,11.15,6.77,1,,,,1
désagréable,unpleasant,,,1.76,1.34,5.52,2.54,2.13,1.46,5.63,2.67,1.72,1.33,5.51,2.55,11,10,4,ADJ,9.54,16.55,,,1,,1,1
désordre,disorder,,,3.14,1.94,5.60,2.59,3.67,2.10,4.75,2.63,3.05,1.91,5.75,2.57,8,7,2,NOUN,12.34,39.12,4.77,,,,,1
destin,destiny,,,6.45,1.72,5.14,2.19,5.56,1.74,5.00,2.29,6.57,1.70,5.16,2.19,6,5,2,NOUN,51.93,62.77,2.34,,,,,1
dévotion,devotion,,,5.59,1.90,4.47,2.19,4.88,1.46,4.00,2.67,5.67,1.94,4.53,2.14,8,7,3,NOUN,2.26,7.03,2.08,,,,,1
diable ,devil,B,112,3.57,2.62,6.05,2.43,4.94,3.01,6.18,2.21,2.40,1.50,5.95,2.65,6,5,1,NOUN,87.54,51.01,5.60,1,,,,1
dieu,god,,,4.35,2.38,4.35,3.34,4.35,2.71,5.59,3.71,4.35,2.13,3.30,2.66,4,3,1,NOUN,852.91,368.51,2.90,,,,,1
difficulté,difficulty,,,2.99,1.91,6.00,2.26,3.67,1.78,5.42,2.54,2.86,1.92,6.11,2.21,10,9,4,NOUN,6.86,22.03,2.63,,,,,1
digestion,digestion,,,4.79,1.42,3.53,2.12,4.67,1.58,3.67,1.73,4.81,1.41,3.51,2.18,9,8,3,NOUN,1.48,2.84,3.70,,,,,1
dinosaure,dinosaur,AF,342,5.86,2.28,4.76,2.68,6.82,2.10,5.65,2.69,5.05,2.14,4.00,2.49,9,7,3,NOUN,2.32,0.07,6.66,1,,,,
disque ,record,B,117,6.58,1.64,4.80,2.54,6.22,1.83,4.61,2.83,6.78,1.52,4.91,2.40,6,4,1,NOUN,20.36,21.49,6.37,1,,,,1
distance,distance,,,3.03,1.66,4.47,2.44,4.25,1.04,3.50,2.33,2.89,1.66,4.58,2.45,8,6,2,NOUN,26.13,52.64,3.47,,,,,1
distinction,distinction,,,5.27,1.44,4.26,2.04,5.33,1.44,4.08,2.31,5.26,1.45,4.30,2.01,11,9,3,NOUN,2.38,9.19,2.38,,,,,1
docteur,doctor,,,4.43,2.14,3.92,2.81,4.35,1.97,4.29,2.59,4.50,2.33,3.60,3.02,7,6,2,NOUN,223.48,83.11,5.70,,,,,1
doigt,finger,AF,88,5.40,1.54,3.70,2.50,4.94,1.47,4.11,2.11,5.66,1.54,3.47,2.70,5,3,1,NOUN,39.83,80.34,6.92,1,,,,1
domino ,domino,B,118,4.61,1.75,2.47,1.74,4.82,1.47,2.94,1.89,4.43,1.96,2.10,1.55,6,6,3,NOUN,0.35,0.41,6.15,1,,,,
dos,back,,,5.59,1.98,4.49,2.46,6.18,2.10,4.71,2.71,5.10,1.77,4.30,2.27,3,2,1,NOUN,100.34,213.99,6.51,,,,,
douceur,gentleness,,,7.76,1.28,5.14,2.69,7.47,1.37,5.41,2.53,8.00,1.17,4.90,2.86,7,5,2,NOUN,16.02,66.08,3.09,,,,,1
douche,shower,AF,311,6.76,1.74,4.27,2.93,6.71,1.49,4.29,2.80,6.80,1.96,4.25,3.11,6,3,1,NOUN,32.56,20.27,6.66,1,,,,
douleur,pain,,,1.86,1.36,5.56,2.89,2.83,1.69,6.17,2.28,1.31,0.69,5.22,3.16,7,5,2,NOUN,65.78,77.84,4.62,,,1,,1
doute,doubt,,,3.11,1.73,5.16,2.41,3.12,2.00,5.41,2.24,3.10,1.52,4.95,2.58,5,3,1,NOUN,97.51,341.35,2.60,,,1,,
doux,sweet,,,7.83,1.17,2.81,2.21,6.89,1.45,2.22,1.30,7.96,1.08,2.88,2.30,4,2,1,ADJ,37.66,58.72,3.84,,,,,1
douze,twelve,,,5.11,1.07,2.95,2.28,5.18,1.13,2.94,2.56,5.05,1.05,2.95,2.09,5,3,1,ADJ:num,21.81,48.18,4.97,,,,,
dragon ,dragon,B,119,6.18,2.38,4.79,2.96,7.00,2.18,5.47,3.18,5.52,2.38,4.24,2.72,6,5,2,NOUN,10.53,7.97,6.46,1,,,,
drap ,sheet,B,120,5.84,1.40,3.89,2.73,5.53,1.12,3.18,2.60,6.10,1.59,4.50,2.74,4,3,1,NOUN,3.69,33.18,6.70,1,,,,
drapeau,flag,AF,90,5.16,2.09,3.11,2.36,5.59,1.91,4.31,2.44,4.80,2.21,2.15,1.84,7,5,2,NOUN,14.66,23.31,6.71,1,,,,1
dur,hard,,,3.87,1.98,4.77,2.41,4.75,1.16,3.25,2.31,3.77,2.03,4.94,2.38,3,3,1,ADJ,145.55,80.68,3.40,,,,1,1
eau,water,,,6.59,1.69,3.70,2.57,6.65,1.62,3.18,2.90,6.55,1.79,4.15,2.23,3,1,1,NOUN,290.61,417.84,6.78,,,,,1
échange,exchange,,,6.18,2.13,5.11,2.04,5.76,2.28,4.88,2.06,6.52,1.99,5.29,2.05,7,4,2,NOUN,29.97,23.99,3.41,,,,,1
écharpe,scarf,,,5.27,1.20,3.60,1.66,5.00,0.85,3.42,1.98,5.32,1.25,3.63,1.61,7,5,2,NOUN,4.68,11.22,6.10,1,,,,1
échelle,ladder,AF,131,4.70,1.25,3.50,2.36,5.00,0.77,4.39,2.48,4.53,1.44,3.00,2.17,7,4,2,NOUN,13.46,28.04,6.44,1,,,,1
éclair ,lightning bolt,B,122,5.05,3.04,4.71,3.46,6.18,2.92,5.41,3.39,4.14,2.89,4.14,3.50,6,5,2,NOUN,7.86,21.08,6.05,1,,,,
école,school,,,4.87,2.46,4.39,2.60,4.88,2.29,4.12,2.67,4.86,2.65,4.62,2.60,5,4,2,NOUN,197.04,128.51,6.32,,,,,1
écologie,ecology,,,6.90,1.71,4.48,2.51,5.78,1.99,5.78,2.39,7.04,1.63,4.31,2.49,8,7,4,NOUN,0.41,0.20,,,,,,1
économie,economics,,,5.35,2.12,4.16,2.15,5.63,0.92,3.38,2.20,5.32,2.22,4.25,2.14,8,7,4,NOUN,9.20,15.74,2.77,,,,,1
économique,economical,,,5.31,2.05,4.40,2.42,5.08,1.88,4.75,2.77,5.35,2.09,4.34,2.37,10,8,4,ADJ,6.09,14.53,2.38,,,,,1
écran ,screen,B,123,5.92,1.72,4.32,2.63,5.82,1.78,3.71,2.80,6.00,1.72,4.85,2.41,5,4,2,NOUN,19.78,21.15,6.19,1,,,,
écrou,nut,,,4.59,1.13,3.07,1.84,4.11,1.76,3.67,2.00,4.66,1.02,2.99,1.82,5,4,2,NOUN,0.34,2.43,3.23,1,,,,1
écureuil,squirrel,AF,216,7.19,1.27,4.35,2.41,7.35,0.86,5.18,2.63,7.05,1.54,3.65,2.01,8,6,3,NOUN,5.71,8.85,6.72,1,,,,1
effort,effort,,,6.03,2.20,5.24,2.68,5.41,1.94,5.71,2.31,6.55,2.33,4.85,2.96,6,4,2,NOUN,23.26,98.18,2.98,,,,,1
égalité,egality,,,7.76,1.37,5.25,2.43,7.00,1.51,5.50,2.56,7.85,1.34,5.23,2.43,7,7,4,NOUN,6.96,8.11,3.13,,,,,1
église,church,AF,57,3.57,2.33,2.46,2.26,3.94,2.44,2.65,2.37,3.25,2.24,2.30,2.20,6,5,2,NOUN,60.20,123.58,6.55,1,,,,1
égo,ego,,,4.64,1.90,4.44,2.15,5.25,1.29,4.25,2.14,4.52,1.98,4.48,2.17,,,,NOUN,,,,,,,,1
électricité,electricity,,,5.55,1.81,4.61,2.64,5.47,1.84,5.12,2.98,5.62,1.83,4.19,2.32,11,11,5,NOUN,15.76,12.97,4.37,,,,,1
élément,component,,,5.38,1.18,3.43,2.03,5.78,1.99,4.22,2.05,5.32,1.04,3.32,2.02,7,5,3,NOUN,10.20,16.15,3.19,,,,,1
éléphant,elephant,AF,84,6.03,1.65,3.76,2.40,5.82,2.04,3.47,2.45,6.19,1.29,4.00,2.39,8,5,3,NOUN,10.17,8.92,6.81,1,,,,1
énergie,energy,,,7.77,1.48,7.19,2.52,7.25,1.67,6.25,2.82,7.83,1.46,7.30,2.48,7,6,3,NOUN,42.18,27.64,3.30,,,,,1
enfant,child,,,6.71,2.25,5.58,3.00,6.65,1.77,5.59,2.92,6.76,2.62,5.57,3.14,6,3,2,NOUN,287.26,381.96,6.02,1,,,,1
enfer,hell,,,3.00,2.36,5.86,2.50,4.06,2.61,6.47,1.77,2.10,1.71,5.35,2.92,5,4,2,NOUN,86.02,38.78,5.16,,,,,1
ennui,boredom,,,2.59,1.79,3.86,2.65,3.24,2.08,4.82,2.32,2.05,1.32,3.05,2.68,5,4,2,NOUN,14.76,38.24,2.87,,,1,,1
entrain,drive,,,6.51,1.71,5.43,2.29,6.17,1.27,4.75,2.26,6.58,1.77,5.56,2.29,7,4,2,NOUN,3.82,7.97,2.28,,,1,,1
entraînement,training,,,6.23,1.59,5.26,2.47,5.78,2.17,5.33,1.80,6.29,1.51,5.25,2.55,12,8,4,NOUN,19.63,7.91,,,,,,1
enveloppe,envelope,AF,85,5.27,1.91,3.41,2.47,5.65,1.77,3.65,2.18,4.95,2.01,3.20,2.73,9,6,3,NOUN,11.40,26.22,6.73,1,,,,
épée ,sword,B,125,5.43,2.09,4.27,2.72,6.47,1.62,4.82,2.67,4.55,2.06,3.80,2.75,4,3,2,NOUN,29.34,19.12,6.69,1,,,,
équilibre,stability,,,6.08,1.95,4.27,2.77,6.59,1.84,3.82,2.86,5.65,1.98,4.65,2.70,9,7,3,NOUN,10.53,39.05,3.79,,,,,1
équité,equity,,,7.22,1.35,4.57,2.32,5.50,0.76,3.63,2.20,7.41,1.26,4.68,2.32,6,5,3,NOUN,0.79,1.49,2.27,,,,,1
erreur,error,,,2.14,1.34,5.30,2.55,2.24,1.39,5.53,2.15,2.05,1.32,5.10,2.88,6,4,2,NOUN,101.33,37.84,3.08,,,,,1
escalier ,stairs,B,129,4.62,1.52,3.41,2.39,4.65,0.79,2.53,2.03,4.60,1.96,4.15,2.46,8,7,3,NOUN,20.91,125.95,6.69,1,,,,
escargot,snail,AF,208,4.70,2.21,2.68,2.33,5.35,2.29,3.00,2.37,4.15,2.03,2.40,2.33,8,7,3,NOUN,2.73,2.84,6.80,1,,,,1
espérance,hope,,,7.43,2.03,5.12,2.68,7.25,2.18,4.42,2.78,7.46,2.02,5.25,2.66,9,7,3,NOUN,4.10,18.31,2.48,,,1,,1
espoir,hope,,,7.68,2.01,6.19,2.97,7.53,2.10,6.82,2.86,7.80,1.99,5.65,3.03,6,6,2,NOUN,57.62,90.74,2.48,,,1,,1
esprit,spirit,,,6.74,1.81,4.52,2.52,6.44,2.35,4.89,2.67,6.78,1.74,4.47,2.52,6,5,2,NOUN,131.70,182.84,2.90,,,,,1
esquimau ,choc-ice,B,130,5.59,1.89,3.03,2.06,5.88,1.90,3.88,2.20,5.35,1.90,2.30,1.66,8,6,3,NOUN,0.91,0.88,6.26,1,,,,
essence,gas,,,3.38,1.77,3.76,2.50,3.65,2.06,3.76,2.80,3.15,1.50,3.75,2.29,7,4,2,NOUN,32.91,27.77,4.97,,,,,1
estimation,assesment,,,5.41,1.59,4.11,2.31,5.38,1.51,2.00,1.85,5.41,1.61,4.35,2.25,10,9,4,NOUN,2.40,1.01,,,,,,1
été,summer,,,8.42,1.03,6.92,2.83,7.75,1.42,5.33,3.17,8.54,0.90,7.22,2.69,3,3,2,NOUN,61.80,121.55,4.98,,,,,1
étiquette ,label,B,131,4.24,1.38,2.78,1.99,4.47,1.42,2.71,2.02,4.05,1.36,2.85,2.01,9,6,3,NOUN,5.44,8.65,6.21,1,,,,
étoile,star,AF,217,7.65,1.23,5.14,2.51,7.65,1.00,5.94,1.75,7.65,1.42,4.45,2.87,6,5,2,NOUN,21.65,29.80,6.77,1,,,,1
étroit,narrow,,,4.01,1.57,4.09,2.24,5.22,1.92,4.78,1.79,3.85,1.46,4.00,2.29,6,5,2,ADJ,5.94,28.18,,,,,,1
étude,study,,,6.77,1.36,4.96,2.27,6.75,1.28,4.13,2.70,6.77,1.38,5.06,2.22,5,4,2,NOUN,11.35,19.66,3.74,,,,,1
évènement,event,,,6.69,1.56,5.94,2.51,6.25,1.54,5.50,3.23,6.77,1.56,6.02,2.37,9,7,4,NOUN,3.27,0.00,2.91,,,,,1
éventail,fan,AF,276,5.42,2.01,3.16,2.18,5.47,1.74,2.94,1.92,5.38,2.25,3.33,2.39,8,6,3,NOUN,2.82,10.88,6.20,1,,,,
évier ,kitchen sink,B,132,4.19,1.54,2.46,1.97,4.29,1.45,2.59,2.06,4.10,1.65,2.35,1.93,5,4,2,NOUN,3.81,11.35,5.87,1,,,,1
excuse,excuse,,,5.03,2.50,3.65,2.50,5.00,2.26,3.24,2.59,5.05,2.74,4.00,2.43,6,6,2,NOUN,29.43,11.28,2.93,,,,,1
face ,face,,,5.05,1.18,3.65,2.21,5.18,0.81,3.76,1.86,4.95,1.43,3.55,2.52,4,3,1,NOUN,124.33,262.16,3.90,,,,,
facilité,ease,,,6.88,1.69,3.88,2.35,5.44,1.94,3.67,1.66,7.07,1.58,3.91,2.44,8,8,4,NOUN,1.47,11.55,2.45,,,,,1
faculté,faculty,,,6.48,1.31,4.63,2.06,6.13,1.25,3.38,1.85,6.52,1.32,4.77,2.05,7,7,3,NOUN,5.93,13.85,2.73,,,,,1
fainéant,lazy,,,4.78,2.31,4.45,2.38,5.00,2.30,3.75,2.38,4.74,2.33,4.58,2.38,8,5,3,NOUN,1.59,0.81,2.37,,1,,1,1
famille,family,,,6.97,2.75,6.00,2.48,6.82,2.72,5.41,2.74,7.10,2.85,6.50,2.19,7,5,2,NOUN,357.75,241.69,5.30,1,,,,1
fanfare,brass band,,,6.11,2.23,5.41,2.33,6.12,2.09,5.29,2.08,6.10,2.40,5.50,2.56,7,5,2,NOUN,3.80,3.72,4.45,,,,,
fantasme,fantasy,,,7.55,1.26,6.87,2.30,7.78,0.97,6.89,2.57,7.51,1.30,6.87,2.28,8,6,2,NOUN,4.64,1.49,,,,,,1
fantôme,ghost,,,4.59,2.48,5.30,2.93,5.47,1.84,4.24,2.68,3.85,2.74,6.20,2.89,7,5,2,NOUN,29.71,20.74,5.98,,,,,1
faon ,fawn,B,133,6.19,1.52,3.78,1.92,6.35,1.37,4.35,1.69,6.05,1.67,3.30,2.00,4,2,1,NOUN,0.25,0.54,5.00,1,,,,
fatigue,tiredness,,,2.52,1.30,3.10,2.60,2.94,1.26,4.06,2.41,2.28,1.28,2.56,2.58,7,5,2,NOUN,8.70,65.81,4.47,,,,,1
faute,mistake,,,2.95,1.75,5.16,2.66,3.24,2.14,6.06,2.61,2.70,1.34,4.40,2.52,5,3,1,NOUN,163.19,81.08,3.27,,,,,1
faveur,favor,,,6.51,1.62,4.46,2.03,6.25,1.58,3.63,2.20,6.54,1.64,4.55,2.01,6,5,2,NOUN,31.09,27.64,2.83,,,,,1
fée ,fairy,B,134,6.81,1.76,4.76,2.45,6.65,2.18,4.76,2.41,6.95,1.36,4.75,2.55,3,2,1,NOUN,8.30,6.62,6.30,1,,,,
féminine,feminine,,,7.60,1.38,5.52,2.54,6.75,1.91,5.92,2.68,7.75,1.21,5.45,2.53,8,7,3,ADJ,6.50,13.38,,,,,,1
femme ,woman,B,135,7.39,1.78,5.59,3.11,8.29,1.16,7.00,2.67,6.67,1.88,4.46,3.02,5,3,1,NOUN,806.57,680.20,6.20,1,,,,
fenêtre,window,AF,257,5.74,1.24,3.22,1.79,5.39,1.46,3.61,1.75,5.94,1.08,3.00,1.80,7,6,2,NOUN,70.20,199.39,6.90,1,,,,1
fer,iron,,,4.79,2.09,4.05,2.60,5.06,1.89,4.71,2.80,4.57,2.27,3.52,2.36,3,3,1,NOUN,33.65,106.28,5.52,,,,,
fermeture,closure,,,3.62,1.91,3.19,2.40,3.59,1.73,3.12,2.09,3.65,2.08,3.25,2.69,9,8,3,NOUN,11.06,14.86,4.11,,,,,
féroce,ferocius,,,3.32,1.91,6.75,2.20,4.44,1.51,7.00,1.73,3.18,1.92,6.72,2.26,6,5,2,ADJ,4.39,12.30,,,1,,,1
fertilité,fertility,,,6.03,2.75,5.22,2.55,6.13,1.64,4.38,2.33,6.01,2.86,5.31,2.57,9,9,4,NOUN,1.13,1.01,2.93,,,,,1
fête,party,,,8.34,1.21,7.63,2.43,7.76,1.56,6.94,2.68,8.81,0.51,8.19,2.11,4,3,1,NOUN,138.03,70.41,5.00,,,,,1
feu,traffic light,AF,239,6.03,2.44,5.30,2.73,6.88,1.90,6.29,2.28,5.30,2.66,4.45,2.84,3,2,1,NOUN,215.87,199.39,6.54,1,,,,1
feuille,leaf,AF,133,5.92,1.79,3.73,2.17,6.59,1.91,4.47,2.50,5.35,1.50,3.10,1.65,7,3,1,NOUN,13.24,46.35,6.57,1,,,,1
fève ,lucky charm,,,5.78,1.87,4.43,2.36,5.88,1.58,4.65,2.34,5.70,2.13,4.25,2.43,4,3,1,NOUN,0.44,0.61,,,,,,
fidélité,faithfulness,,,8.03,1.12,4.51,2.77,7.00,1.12,3.89,2.20,8.16,1.06,4.59,2.83,8,8,4,NOUN,10.26,17.43,2.43,,,,,1
fièvre,fever,,,1.97,1.73,3.68,2.91,2.12,1.87,4.41,2.81,1.86,1.65,3.10,2.93,6,5,1,NOUN,24.23,38.58,4.20,,,,,
fil,thread,,,5.05,1.33,3.14,2.20,5.53,1.18,3.47,2.48,4.65,1.35,2.85,1.95,3,3,1,NOUN,51.83,75.95,5.66,,,,,
fille ,girl,B,136,5.97,2.05,4.49,2.76,6.76,2.17,5.24,3.03,5.30,1.72,3.85,2.39,5,3,1,NOUN,627.59,417.03,6.54,1,,,,
film,movie,,,7.78,1.25,6.08,2.50,7.24,1.39,6.29,2.34,8.25,0.91,5.90,2.67,4,4,1,NOUN,195.10,49.53,6.11,1,,,,
flèche,arrow,AF,8,5.32,1.55,4.00,2.49,5.59,1.42,4.29,2.91,5.10,1.65,3.75,2.12,6,4,1,NOUN,8.21,15.54,6.64,1,,,,1
fléchette,dart,AF,341,4.97,1.55,3.49,2.46,5.35,1.66,3.82,2.38,4.65,1.42,3.20,2.55,9,6,2,NOUN,0.33,0.34,4.95,1,,,,
fleur,flower,AF,91,7.21,1.42,3.47,2.45,6.88,1.50,2.71,2.26,7.48,1.33,4.10,2.47,5,4,1,NOUN,25.20,42.97,6.84,1,,,,1
flocon,snowflake,B,138,7.03,1.95,5.49,2.72,6.65,1.93,5.53,2.32,7.35,1.95,5.45,3.09,6,5,2,NOUN,0.19,1.35,6.68,1,,,,
flûte,flute,AF,92,4.95,2.45,4.03,2.62,5.12,2.62,4.18,2.43,4.80,2.35,3.90,2.83,5,4,1,NOUN,9.11,8.92,6.80,1,,,,
foin ,hay,,,5.30,1.98,3.35,2.73,5.00,1.84,3.41,2.62,5.55,2.11,3.30,2.89,4,3,1,NOUN,6.06,16.01,6.10,,,,,
folie,dementia,,,6.70,2.54,6.95,2.44,6.82,2.27,6.65,2.71,6.60,2.80,7.20,2.21,5,4,2,NOUN,49.01,52.43,3.26,,,1,,1
football,football,,,4.47,2.18,4.70,2.54,4.50,2.83,4.00,2.45,4.46,2.12,4.77,2.56,8,6,2,NOUN,13.93,6.28,,,,,,1
force,force,,,6.49,2.05,5.81,2.71,6.35,1.50,4.88,3.00,6.60,2.46,6.60,2.21,5,4,1,NOUN,108.29,218.38,3.14,,,,,1
forêt,forest,,,6.57,1.69,4.00,2.58,6.94,1.39,4.65,2.67,6.25,1.89,3.45,2.44,5,4,2,NOUN,29.57,91.89,6.66,,,,,
forme,shape,,,5.81,1.51,3.32,2.56,5.35,1.37,3.00,2.40,6.20,1.54,3.60,2.72,5,4,1,NOUN,82.61,137.91,4.40,,,,,
fort,strong,,,7.04,1.75,6.26,2.31,6.83,1.85,5.42,3.15,7.08,1.74,6.42,2.12,4,3,1,ADJ,27.93,43.85,4.00,,1,,1,1
fortune,wealth,,,6.99,1.69,5.70,2.46,6.22,2.39,5.78,2.17,7.09,1.57,5.69,2.51,7,6,2,NOUN,32.35,46.49,4.62,,,,,1
fouet,whip,AF,398,3.59,2.15,5.38,2.82,3.76,2.49,5.82,2.81,3.45,1.88,5.00,2.85,5,3,1,NOUN,7.92,16.69,6.26,1,,,,
fourchette,fork,AF,97,5.50,1.37,3.60,2.35,5.72,1.36,4.17,2.31,5.38,1.39,3.28,2.34,10,6,2,NOUN,4.98,10.95,6.87,1,,,,1
fourmi,ant,AF,5,5.03,1.78,3.55,2.47,4.65,2.00,3.88,2.57,5.33,1.56,3.29,2.41,6,5,2,NOUN,2.78,5.14,6.68,1,,,,1
fraise,strawberry,AF,220,7.27,1.57,4.81,2.39,7.29,1.31,5.82,2.16,7.25,1.80,3.95,2.28,6,4,1,NOUN,5.28,3.92,6.94,1,,,,1
framboise (mûre),raspberry,B,205,7.60,1.58,5.82,2.37,7.33,1.28,5.94,2.04,7.75,1.72,5.75,2.57,9,7,2,NOUN,1.95,3.92,6.95,1,,,,
français,French,,,5.91,1.45,4.13,2.11,5.25,0.71,2.38,1.92,5.99,1.50,4.33,2.05,8,5,2,NOUN,34.94,148.72,,,,,,1
franchise,frankness,,,7.40,1.53,4.99,2.54,6.92,1.62,4.33,2.96,7.49,1.51,5.11,2.46,9,6,2,NOUN,5.62,7.70,2.69,,,,,1
frein,brake,,,5.22,1.54,3.80,2.56,5.76,1.35,4.72,2.63,4.94,1.58,3.28,2.40,5,3,1,NOUN,4.87,7.91,4.70,,,,,
fréquence,frequency,,,4.87,1.18,3.86,2.23,4.89,1.76,4.67,1.58,4.86,1.10,3.75,2.29,9,6,2,NOUN,7.61,2.23,2.94,,,,,1
frigidaire,refrigerator,AF,185,5.81,2.12,3.73,2.47,5.53,1.77,3.47,2.45,6.05,2.39,3.95,2.52,10,8,3,NOUN,1.16,3.18,6.86,1,,,,1
frite,French fry,,,7.22,1.57,5.05,2.31,7.24,1.25,5.53,2.35,7.20,1.82,4.65,2.25,5,4,1,NOUN,0.66,0.54,6.70,1,,,,
fromage,cheese,AF,336,6.42,2.07,3.63,2.45,7.35,1.11,3.82,2.16,5.67,2.37,3.48,2.71,7,6,2,NOUN,25.68,20.81,6.72,1,,,,1
front,forehead,,,4.89,0.77,2.57,2.12,4.65,1.00,2.71,1.99,5.10,0.45,2.45,2.26,5,3,1,NOUN,38.81,152.57,6.14,,,,,
fruit,fruit,,,7.22,1.40,4.51,2.50,7.47,1.23,5.06,2.70,7.00,1.52,4.05,2.28,5,4,1,NOUN,15.99,21.96,6.50,,,,,1
fumée,smoke,,,3.42,2.18,4.66,2.60,4.13,1.89,3.75,1.75,3.34,2.20,4.76,2.66,5,4,2,NOUN,19.91,55.88,6.42,,,,,1
fusée,rocket,AF,305,5.97,2.03,4.73,2.89,7.12,1.69,6.12,2.64,5.00,1.81,3.55,2.61,5,4,2,NOUN,6.00,4.59,6.51,1,,,,1
gaieté,gaiety,,,8.16,1.35,5.92,2.81,7.82,1.59,5.12,3.30,8.43,1.08,6.57,2.23,6,4,2,NOUN,2.81,27.09,3.15,,,1,,1
gant,glove,AF,106,4.68,1.60,2.86,2.00,4.82,1.19,3.18,2.10,4.55,1.90,2.60,1.93,4,2,1,NOUN,9.86,7.97,6.88,1,,,,1
garage ,garage,B,140,5.05,1.60,3.32,2.08,5.65,1.54,3.71,1.69,4.55,1.50,3.00,2.36,6,5,2,NOUN,24.41,22.23,6.30,1,,,,
garçon ,boy,B,141,6.51,1.97,4.62,2.97,5.18,1.70,3.18,2.48,7.65,1.39,5.85,2.83,6,5,2,NOUN,188.41,186.96,6.32,1,,,,
gâteau,cake,AF,42,7.57,1.72,6.05,2.16,7.18,1.81,5.76,2.25,7.90,1.62,6.30,2.11,6,4,2,NOUN,42.33,13.92,6.73,1,,,,1
