,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
boule,bowl,,,5.19,1.54,3.57,2.68,5.24,1.52,3.12,2.47,5.15,1.60,3.95,2.86,5,3,1,NOUN,19.29,38.31,6.37,,,,,
bout ,piece,,,5.10,1.49,3.34,2.20,5.72,1.53,3.78,2.32,4.75,1.37,3.09,2.13,4,2,1,NOUN,121.12,375.68,4.19,,,,,
bouteille,bottle,AF,32,5.84,1.59,4.03,2.59,6.29,1.90,4.65,2.52,5.45,1.19,3.50,2.59,9,5,2,NOUN,42.31,70.41,6.64,1,,,,1
bouton,button,AF,41,3.43,2.17,4.49,2.60,4.24,1.99,4.65,2.45,2.75,2.12,4.35,2.78,6,4,2,NOUN,21.29,21.55,6.43,1,,,,1
bracelet ,bracelet,,,5.62,2.06,3.54,2.32,4.76,1.68,2.71,1.86,6.35,2.11,4.25,2.47,8,7,3,NOUN,9.81,5.74,6.76,,,,,
branche ,branch,B,51,5.30,1.07,3.32,2.24,5.39,0.70,4.39,2.33,5.25,1.24,2.72,1.99,7,4,1,NOUN,11.85,24.12,6.55,1,,,,
bras,arm,AF,7,5.92,2.12,4.03,2.78,5.18,1.81,3.00,1.97,6.52,2.20,4.86,3.09,4,3,1,NOUN,149.26,487.97,6.77,1,,,,1
bravoure,bravery,,,7.62,1.39,5.47,2.51,7.44,1.24,5.33,3.24,7.65,1.41,5.49,2.43,8,6,2,NOUN,2.78,3.18,2.75,,,,,1
brique,brick,B,52,4.73,1.54,2.76,2.20,5.35,1.22,2.88,2.52,4.20,1.61,2.65,1.95,6,4,1,NOUN,4.02,11.69,6.72,1,,,,1
briquet,lighter,,,4.84,1.94,4.19,2.40,5.25,0.71,2.75,1.67,4.79,2.03,4.35,2.43,7,5,2,NOUN,9.98,12.30,6.67,1,,,,1
brosse,brush,AF,38,4.95,1.63,3.00,1.97,5.00,1.54,3.00,1.94,4.90,1.74,3.00,2.05,6,4,1,NOUN,7.29,16.01,6.25,1,,,,1
brouette ,wheelbarrow,B,54,5.36,1.38,3.66,2.30,5.61,1.46,4.67,2.45,5.22,1.34,3.09,2.04,8,5,2,NOUN,1.10,5.14,6.47,1,,,,1
bruit,noise,,,4.22,2.26,4.95,2.58,4.59,2.29,5.06,2.75,3.90,2.25,4.85,2.50,5,4,1,NOUN,78.94,223.18,3.36,,,,,1
brun,brown,,,5.70,1.78,3.65,2.38,5.53,1.94,3.18,2.27,5.85,1.66,4.05,2.46,4,3,1,NOUN,2.17,7.43,5.60,,,,,
bûche,log,AF,294,5.95,1.68,3.51,2.08,5.71,2.02,4.24,2.41,6.15,1.35,2.90,1.55,5,3,1,NOUN,2.09,5.14,6.50,1,,,,1
